"","Plate","Tank.Number","Temperature.Number","Abs_562nm","Unique_ID","Abs_562nm_cor","TotalProtein_ug_mL","TotalProtein_ug"
"24",1,12,1,1.486,"Plate1_Tank12_Temperature1",1.3748,1228.86658452866,30.7216646132164
"25",1,12,1,1.3897,"Plate1_Tank12_Temperature1",1.2785,1129.99726049725,28.2499315124312
"26",1,6,5,1.4693,"Plate1_Tank6_Temperature5",1.3581,1211.55139482307,30.2887848705766
"27",1,6,5,1.4645,"Plate1_Tank6_Temperature5",1.3533,1206.58798801648,30.164699700412
"28",1,6,3,1.5091,"Plate1_Tank6_Temperature3",1.3979,1252.93839184873,31.3234597962183
"29",1,6,3,1.3926,"Plate1_Tank6_Temperature3",1.2814,1132.94071693265,28.3235179233162
"30",1,6,5,2.2541,"Plate1_Tank6_Temperature5",2.1429,2124.439603777,53.1109900944251
"31",1,4,1,1.848,"Plate1_Tank4_Temperature1",1.7368,1623.96895588052,40.599223897013
"32",1,13,4,1.9654,"Plate1_Tank13_Temperature4",1.8542,1761.45491035292,44.036372758823
"33",1,7,2,2.4115,"Plate1_Tank7_Temperature2",2.3003,2340.77625206476,58.519406301619
"34",1,7,2,2.364,"Plate1_Tank7_Temperature2",2.2528,2273.88284124728,56.847071031182
"35",1,4,1,1.7674,"Plate1_Tank4_Temperature1",1.6562,1532.45073063458,38.3112682658646
"36",1,14,5,1.3266,"Plate1_Tank14_Temperature5",1.2154,1066.4534239507,26.6613355987674
"37",1,14,5,1.3048,"Plate1_Tank14_Temperature5",1.1936,1044.71847421906,26.1179618554766
"38",1,6,4,1.6194,"Plate1_Tank6_Temperature4",1.5082,1369.88950251612,34.247237562903
"39",1,6,4,1.5296,"Plate1_Tank6_Temperature4",1.4184,1274.42012750643,31.8605031876608
"40",1,13,1,1.1219,"Plate1_Tank13_Temperature1",1.0107,866.520246856699,21.6630061714175
"41",1,13,1,1.0973,"Plate1_Tank13_Temperature1",0.9861,843.091128059978,21.0772782014995
"42",1,13,4,2.2549,"Plate1_Tank13_Temperature4",2.1437,2125.50236403487,53.1375591008716
"43",1,12,4,1.3862,"Plate1_Tank12_Temperature4",1.275,1126.44755020216,28.1611887550541
"44",1,5,4,1.9254,"Plate1_Tank5_Temperature4",1.8142,1714.02607074311,42.8506517685777
"45",1,12,2,1.4906,"Plate1_Tank12_Temperature2",1.3794,1233.6488575494,30.8412214387351
"46",1,12,2,1.4965,"Plate1_Tank12_Temperature2",1.3853,1239.79080380092,30.994770095023
"47",1,12,4,1.1885,"Plate1_Tank12_Temperature4",1.0773,930.574728924098,23.2643682231025
"48",1,6,2,0.9454,"Plate1_Tank6_Temperature2",0.8342,701.040440668812,17.5260110167203
"49",1,6,2,0.9582,"Plate1_Tank6_Temperature2",0.847,712.842290700018,17.8210572675005
"50",1,4,2,0.8568,"Plate1_Tank4_Temperature2",0.7456,620.158204149025,15.5039551037256
"51",1,4,2,0.849,"Plate1_Tank4_Temperature2",0.7378,613.103902608904,15.3275975652226
"52",1,5,4,1.9663,"Plate1_Tank5_Temperature4",1.8551,1762.52928854176,44.063232213544
"53",1,14,3,1.7625,"Plate1_Tank14_Temperature3",1.6513,1526.95776010803,38.1739440027006
"54",1,14,4,1.6813,"Plate1_Tank14_Temperature4",1.5701,1437.05622305841,35.9264055764603
"55",1,7,4,2.0836,"Plate1_Tank7_Temperature4",1.9724,1905.43015884671,47.6357539711676
"56",1,11,3,1.8063,"Plate1_Tank11_Temperature3",1.6951,1576.34248779397,39.4085621948493
